ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
e10__google/mt5-base__English,1.0,0.0,1.0,1.0,1.0,0.8
e11__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e12__google/mt5-base__English,0.0,1.0,1.0,0.0,1.0,0.6
e13__google/mt5-base__English,1.0,0.0,0.0,1.0,0.0,0.4
e14__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e15__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e16__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e17__google/mt5-base__English,0.0,1.0,0.0,0.0,1.0,0.4
e18__google/mt5-base__English,0.0,0.0,0.0,0.0,1.0,0.2
e19__google/mt5-base__English,1.0,0.0,1.0,1.0,1.0,0.8
e1__google/mt5-base__English,0.0,1.0,0.0,0.0,1.0,0.4
e20__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e21__google/mt5-base__English,0.0,1.0,1.0,0.0,1.0,0.6
e22__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e23__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e24__google/mt5-base__English,1.0,1.0,0.0,0.0,2.0,0.8
e25__google/mt5-base__English,1.0,0.0,1.0,1.0,1.0,0.8
e26__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e27__google/mt5-base__English,0.0,1.0,1.0,0.0,1.0,0.6
e28__google/mt5-base__English,0.0,0.0,0.0,1.0,1.0,0.4
e29__google/mt5-base__English,1.0,0.0,1.0,0.0,1.0,0.6
e2__google/mt5-base__English,0.0,0.0,0.0,0.0,0.0,0.0
e30__google/mt5-base__English,1.0,0.0,0.0,1.0,0.0,0.4
e3__google/mt5-base__English,1.0,0.0,1.0,1.0,0.0,0.6
e4__google/mt5-base__English,1.0,0.0,1.0,0.0,0.0,0.4
e5__google/mt5-base__English,0.0,0.0,0.0,1.0,1.0,0.4
e6__google/mt5-base__English,1.0,0.0,0.0,1.0,0.0,0.4
e7__google/mt5-base__English,0.0,1.0,0.0,0.0,1.0,0.4
e8__google/mt5-base__English,0.0,1.0,1.0,1.0,1.0,0.8
e9__google/mt5-base__English,1.0,1.0,1.0,1.0,1.0,1.0
h10__google/mt5-base__Hindi,0.0,0.0,1.0,0.0,1.0,0.4
h11__google/mt5-base__Hindi,1.0,0.0,1.0,1.0,1.0,0.8
h12__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h13__google/mt5-base__Hindi,0.0,0.0,1.0,1.0,0.0,0.4
h14__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h15__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h16__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h17__google/mt5-base__Hindi,1.0,0.0,1.0,0.0,0.0,0.4
h18__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h19__google/mt5-base__Hindi,0.0,1.0,1.0,0.0,1.0,0.6
h1__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h20__google/mt5-base__Hindi,1.0,0.0,1.0,1.0,1.0,0.8
h21__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h22__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h23__google/mt5-base__Hindi,0.0,1.0,1.0,1.0,1.0,0.8
h24__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h25__google/mt5-base__Hindi,0.0,1.0,1.0,0.0,1.0,0.6
h26__google/mt5-base__Hindi,1.0,0.0,1.0,1.0,1.0,0.8
h27__google/mt5-base__Hindi,0.0,1.0,0.0,0.0,1.0,0.4
h28__google/mt5-base__Hindi,0.0,1.0,1.0,0.0,0.0,0.4
h29__google/mt5-base__Hindi,1.0,0.0,1.0,0.0,1.0,0.6
h2__google/mt5-base__Hindi,0.0,0.0,0.0,0.0,0.0,0.0
h30__google/mt5-base__Hindi,1.0,1.0,0.0,0.0,0.0,0.4
h3__google/mt5-base__Hindi,0.0,1.0,1.0,1.0,1.0,0.8
h4__google/mt5-base__Hindi,0.0,1.0,0.0,1.0,1.0,0.6
h5__google/mt5-base__Hindi,0.0,1.0,0.0,1.0,0.0,0.4
h6__google/mt5-base__Hindi,0.0,1.0,0.0,1.0,1.0,0.6
h7__google/mt5-base__Hindi,0.0,1.0,0.0,0.0,1.0,0.4
h8__google/mt5-base__Hindi,1.0,1.0,1.0,0.0,1.0,0.8
h9__google/mt5-base__Hindi,0.0,1.0,0.0,0.0,1.0,0.4
