ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E10__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E11__gpt-4o__EN,1.0,1.0,1.0,0.0,0.0,0.6
E12__gpt-4o__EN,0.0,1.0,1.0,1.0,2.0,1.0
E13__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E14__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E15__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E16__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E17__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E18__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E19__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E1__gpt-4o__EN,2.0,0.0,2.0,0.0,0.0,0.8
E20__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E21__gpt-4o__EN,2.0,0.0,2.0,0.0,0.0,0.8
E22__gpt-4o__EN,1.0,0.0,1.0,1.0,2.0,1.0
E23__gpt-4o__EN,1.0,1.0,1.0,1.0,0.0,0.8
E24__gpt-4o__EN,1.0,0.0,0.0,1.0,1.0,0.6
E25__gpt-4o__EN,1.0,1.0,1.0,1.0,2.0,1.2
E26__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E27__gpt-4o__EN,0.0,1.0,1.0,1.0,1.0,0.8
E28__gpt-4o__EN,1.0,0.0,0.0,0.0,0.0,0.2
E29__gpt-4o__EN,2.0,0.0,2.0,0.0,0.0,0.8
E2__gpt-4o__EN,1.0,0.0,1.0,1.0,2.0,1.0
E30__gpt-4o__EN,2.0,0.0,2.0,1.0,1.0,1.2
E31__gpt-4o__EN,1.0,1.0,1.0,2.0,1.0,1.2
E32__gpt-4o__EN,1.0,1.0,1.0,1.0,2.0,1.2
E33__gpt-4o__EN,1.0,0.0,1.0,1.0,2.0,1.0
E34__gpt-4o__EN,0.0,0.0,2.0,0.0,1.0,0.6
E35__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E36__gpt-4o__EN,0.0,0.0,1.0,1.0,2.0,0.8
E37__gpt-4o__EN,2.0,0.0,1.0,0.0,1.0,0.8
E38__gpt-4o__EN,1.0,1.0,1.0,1.0,2.0,1.2
E39__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E3__gpt-4o__EN,1.0,1.0,0.0,1.0,0.0,0.6
E40__gpt-4o__EN,1.0,0.0,0.0,0.0,0.0,0.2
E41__gpt-4o__EN,2.0,0.0,2.0,0.0,0.0,0.8
E42__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E43__gpt-4o__EN,2.0,0.0,0.0,1.0,1.0,0.8
E44__gpt-4o__EN,1.0,1.0,1.0,1.0,2.0,1.2
E45__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E46__gpt-4o__EN,1.0,0.0,2.0,0.0,0.0,0.6
E47__gpt-4o__EN,1.0,1.0,1.0,1.0,1.0,1.0
E48__gpt-4o__EN,1.0,0.0,2.0,0.0,0.0,0.6
E49__gpt-4o__EN,2.0,0.0,0.0,1.0,1.0,0.8
E4__gpt-4o__EN,0.0,1.0,1.0,1.0,2.0,1.0
E50__gpt-4o__EN,1.0,2.0,0.0,0.0,0.0,0.6
E5__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E6__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
E7__gpt-4o__EN,1.0,1.0,1.0,0.0,0.0,0.6
E8__gpt-4o__EN,0.0,1.0,1.0,1.0,2.0,1.0
E9__gpt-4o__EN,0.0,0.0,0.0,0.0,0.0,0.0
H10__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H11__gpt-4o__HI,1.0,0.0,1.0,1.0,2.0,1.0
H12__gpt-4o__HI,0.0,1.0,0.0,1.0,1.0,0.6
H13__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H14__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H15__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H16__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H17__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H18__gpt-4o__HI,0.0,0.0,0.0,0.0,0.0,0.0
H19__gpt-4o__HI,2.0,0.0,0.0,0.0,0.0,0.4
H1__gpt-4o__HI,0.0,0.0,0.0,2.0,1.0,0.6
